CELLLINE NAME	MCF7	MDA-MB-231	HS-578T	BT-549	T-47D	SF-268	SF-295	SF-539	SNB-19	SNB-75	U251	COLO-205	HCC-2998	HCT-116	HCT-15	HT29	KM12	SW-620	CCRF-CEM	HL-60(TB)	K-562	MOLT-4	RPMI-8226	SR	LOX-IMVI	MALME-3M	M14	SK-MEL-2	SK-MEL-28	SK-MEL-5	UACC-257	UACC-62	MDA-MB-435	A549/ATCC	EKVX	HOP-62	HOP-92	NCI-H226	NCI-H23	NCI-H322M	NCI-H460	NCI-H522	IGROV1	OVCAR-3	OVCAR-4	OVCAR-5	OVCAR-8	SK-OV-3	NCI/ADR-RES	PC-3	DU-145	786-0	A498	ACHN	CAKI-1	RXF-393	SN12C	TK-10	UO-31
MCF7	1	0.803869488	0.850534343	0.864619316	0.935210177	0.86494436	0.893410778	0.869722826	0.859753351	0.872647012	0.888242684	0.887564355	0.914281956	0.920000755	0.927250544	0.907118976	0.907508189	0.748891631	0.871298105	0.866819316	0.880933458	0.875130416	0.868249899	0.87077891	0.873892979	0.867236714	0.873776469	0.873930443	0.870236154	0.87278285	0.882083387	0.885903065	0.886711772	0.901005094	0.900199261	0.892391861	0.884489018	0.868136232	0.915662766	0.907730373	0.88696512	0.89606267	0.900403248	0.89715195	0.903966677	0.873160484	0.895157681	0.885143161	0.893754165	0.892006174	0.892376699	0.889138102	0.871873104	0.895079129	0.89050818	0.865854175	0.883203474	0.897242667	0.88071241
MDA-MB-231	0.803869488	1	0.800494649	0.793908378	0.815722011	0.829047002	0.837332668	0.817151975	0.789963505	0.811155836	0.84977978	0.785630551	0.803203209	0.87423201	0.795224526	0.813722481	0.834653266	0.911433363	0.822524232	0.841439564	0.804020518	0.808463015	0.783835007	0.759856338	0.846159024	0.809523883	0.764374973	0.787953042	0.785060207	0.748469399	0.807930334	0.812493932	0.797137155	0.819753786	0.824701809	0.835002009	0.838522751	0.881445364	0.814328678	0.81693217	0.780276263	0.819596969	0.837802163	0.800310768	0.816184428	0.832572126	0.80391645	0.842258918	0.844873486	0.844749941	0.783764101	0.827478925	0.80770064	0.840825111	0.839681618	0.836341483	0.839093247	0.837581944	0.851990199
HS-578T	0.850534343	0.800494649	1	0.920583081	0.85277807	0.909979033	0.922629765	0.937348214	0.899141881	0.93219662	0.904879312	0.82901542	0.855402464	0.869328542	0.863621072	0.850478641	0.85771552	0.694455532	0.818061119	0.813297094	0.830796724	0.822563173	0.84257484	0.828887881	0.89996451	0.875636631	0.880351685	0.876733395	0.879618537	0.859205213	0.872018612	0.895016064	0.887161327	0.884523114	0.895205614	0.910555139	0.907125914	0.904914001	0.886688033	0.864186677	0.887936536	0.861787602	0.876212205	0.875086226	0.892426389	0.854329277	0.906917897	0.887309138	0.892896993	0.896595044	0.886388008	0.910844898	0.899942765	0.898781401	0.914303411	0.916220286	0.902610041	0.894469667	0.90658608
BT-549	0.864619316	0.793908378	0.920583081	1	0.866315405	0.884261109	0.917396207	0.915790691	0.903727494	0.913857994	0.902051893	0.839664398	0.88009146	0.881160574	0.880490006	0.878574389	0.873516387	0.701558912	0.843782894	0.830423536	0.844829831	0.837535087	0.860196247	0.846597498	0.899732922	0.872072605	0.88436337	0.875735905	0.878255195	0.864474749	0.876616127	0.893512908	0.891273903	0.884275082	0.898795897	0.90600681	0.906883985	0.902294341	0.905434285	0.87294061	0.895634046	0.876084761	0.879366973	0.876580299	0.889756266	0.857744476	0.906421137	0.882490941	0.905494109	0.898958683	0.890331628	0.900849741	0.896063544	0.899733504	0.912495369	0.906150238	0.903906443	0.901453721	0.896690598
T-47D	0.935210177	0.815722011	0.85277807	0.866315405	1	0.860967675	0.891322819	0.873123368	0.86629361	0.877076085	0.891060471	0.882543771	0.903002798	0.910733496	0.906978427	0.905725012	0.90404456	0.762330844	0.86425423	0.853179946	0.862038171	0.857544539	0.867913792	0.856789562	0.868992653	0.86860694	0.860451007	0.864211127	0.860533466	0.854596313	0.878838578	0.884443858	0.876901188	0.892541341	0.904072596	0.886750665	0.886163577	0.881001166	0.902715054	0.914276467	0.88281506	0.887618608	0.893375292	0.891290624	0.906153116	0.873346771	0.884730796	0.885820194	0.902497119	0.892884784	0.893140195	0.881129923	0.873516386	0.897243149	0.892632791	0.86805429	0.885107422	0.894509067	0.887031943
SF-268	0.86494436	0.829047002	0.909979033	0.884261109	0.860967675	1	0.912506178	0.901419097	0.868416178	0.899097119	0.903665948	0.851866855	0.855335657	0.880161534	0.868583793	0.868478635	0.874377955	0.736085908	0.840376294	0.848905541	0.860029152	0.861437792	0.834086734	0.857973375	0.908977384	0.856348678	0.866730157	0.867155242	0.8700154	0.848805705	0.875798758	0.883324343	0.878786597	0.910660252	0.886588863	0.898674759	0.890704166	0.904516436	0.882721747	0.873676559	0.89830033	0.867488718	0.893103978	0.888134141	0.896182717	0.859933905	0.9135324	0.89611864	0.890765162	0.884889613	0.887481247	0.904115781	0.8931147	0.898480228	0.908459743	0.881934879	0.920733346	0.892839102	0.895966099
SF-295	0.893410778	0.837332668	0.922629765	0.917396207	0.891322819	0.912506178	1	0.940463056	0.920681203	0.942552462	0.946847498	0.868373298	0.901645924	0.916026143	0.90563533	0.894895407	0.894843698	0.747585934	0.879548927	0.866177295	0.874538853	0.874829956	0.871858738	0.865746226	0.925997846	0.904145123	0.914464743	0.912636446	0.90771925	0.892185343	0.90777716	0.930144133	0.922759977	0.914123532	0.922281727	0.943702592	0.935326195	0.921542057	0.925627649	0.901165814	0.91187482	0.904521731	0.90084265	0.893235869	0.907669952	0.899049682	0.919436186	0.911503209	0.925280029	0.930345	0.901090365	0.934734133	0.918900576	0.927836494	0.933747879	0.923848557	0.926535164	0.922608963	0.929726332
SF-539	0.869722826	0.817151975	0.937348214	0.915790691	0.873123368	0.901419097	0.940463056	1	0.903879153	0.946261528	0.935226726	0.843526074	0.882353206	0.891779167	0.893227962	0.872937727	0.869240643	0.721467286	0.84884369	0.830784257	0.852212563	0.840386632	0.839601906	0.840572577	0.915755196	0.899436584	0.891094619	0.903600301	0.896823999	0.867238797	0.892542657	0.914467378	0.909165006	0.889367842	0.916729203	0.935887943	0.932042975	0.908386413	0.917620749	0.888670022	0.889067038	0.883600216	0.895790517	0.891193767	0.906508183	0.861270111	0.919450088	0.908597884	0.911484375	0.914123516	0.895957243	0.929587203	0.912886757	0.912185039	0.928015244	0.942954916	0.914672266	0.918764373	0.927518321
SNB-19	0.859753351	0.789963505	0.899141881	0.903727494	0.86629361	0.868416178	0.920681203	0.903879153	1	0.923305793	0.934851326	0.83439708	0.8710757	0.879809499	0.875813329	0.85943563	0.867520116	0.716370917	0.836955212	0.818662882	0.826881385	0.831631838	0.861153071	0.826632589	0.875558551	0.883314098	0.883322258	0.884849744	0.882704233	0.870649905	0.880761774	0.901405181	0.889739506	0.87424011	0.894586237	0.898139192	0.897592785	0.884908724	0.891420531	0.875447098	0.900203955	0.879636081	0.872589745	0.870693497	0.879795458	0.852236336	0.878451414	0.87455497	0.889410461	0.892164485	0.875428434	0.886442083	0.881636072	0.88831605	0.895495757	0.887393003	0.88077856	0.884730595	0.889572298
SNB-75	0.872647012	0.811155836	0.93219662	0.913857994	0.877076085	0.899097119	0.942552462	0.946261528	0.923305793	1	0.938170735	0.84419485	0.878114935	0.889810444	0.88930729	0.87195499	0.87120797	0.723588952	0.852916725	0.830900763	0.84511124	0.851563446	0.848276375	0.840218194	0.897937142	0.910045806	0.908636112	0.910141901	0.906119583	0.879617184	0.901284504	0.925499356	0.916065541	0.88661389	0.913184611	0.920813351	0.922136825	0.903774526	0.912217573	0.883995099	0.900540991	0.887923743	0.890973718	0.885317563	0.902441431	0.862791504	0.906674047	0.900747184	0.906628981	0.911025807	0.893852772	0.915055303	0.905557119	0.907336765	0.916708431	0.926844287	0.90232293	0.90515977	0.914657335
