CELLLINE NAME	MCF7	MDA-MB-231	HS-578T	BT-549	T-47D	SF-268	SF-295	SF-539	SNB-19	SNB-75	U251	COLO-205	HCC-2998	HCT-116	HCT-15	HT29	KM12	SW-620	CCRF-CEM	HL-60(TB)	K-562	MOLT-4	RPMI-8226	SR	LOX-IMVI	MALME-3M	M14	SK-MEL-2	SK-MEL-28	SK-MEL-5	UACC-257	UACC-62	MDA-MB-435	A549/ATCC	EKVX	HOP-62	HOP-92	NCI-H226	NCI-H23	NCI-H322M	NCI-H460	NCI-H522	IGROV1	OVCAR-3	OVCAR-4	OVCAR-5	OVCAR-8	SK-OV-3	NCI/ADR-RES	PC-3	DU-145	786-0	A498	ACHN	CAKI-1	RXF-393	SN12C	TK-10	UO-31
MCF7	1.0000 	0.4633 	0.0000 	0.0000 	0.5884 	1.0000 	0.0000 	0.0000 	1.0000 	0.0000 	0.0000 	0.8898 	0.0000 	1.0000 	1.0000 	1.0000 	1.0000 	1.0000 	0.0000 	0.0000 	1.0000 	0.0000 	0.0000 	0.0000 	0.4490 	0.2082 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.4577 	0.0000 	1.0000 	0.0000 	0.0000 	0.0000 	1.0000 	0.0000 	0.0000 	1.0000 	0.0000 	0.7327 	1.0000 	0.0000 	0.0000 	0.0000 	0.0000 	1.0000 	1.0000 	1.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	1.0000 	0.0000 	0.0000 
MDA-MB-231	0.4633 	1.0000 	0.0000 	0.0000 	0.2726 	0.4633 	0.8862 	0.5106 	0.4633 	0.8862 	0.4824 	0.4123 	0.8862 	0.4633 	0.4633 	0.4633 	0.4633 	0.4633 	0.0000 	0.0000 	0.4633 	0.0000 	0.0000 	0.0000 	0.9999 	0.7522 	0.8862 	0.0000 	0.0000 	0.0000 	0.8862 	0.2121 	0.0000 	0.4633 	0.8862 	0.7063 	0.8862 	0.4633 	0.8538 	0.8862 	0.4633 	0.8862 	0.9426 	0.4633 	0.8862 	0.8862 	0.8862 	0.8862 	0.4633 	0.4633 	0.4633 	0.8862 	0.8862 	0.8862 	0.8862 	0.8335 	0.4633 	0.8862 	0.0000 
HS-578T	0.0000 	0.0000 	1.0000 	1.0000 	0.8086 	0.0000 	0.0000 	0.8173 	0.0000 	0.0000 	0.6932 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	1.0000 	0.0000 	0.0000 	0.6396 	0.0000 	1.0000 	1.0000 	1.0000 	0.0000 	0.8891 	1.0000 	0.0000 	0.0000 	0.6039 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.3398 	0.0000 	0.0000 	1.0000 
BT-549	0.0000 	0.0000 	1.0000 	1.0000 	0.8086 	0.0000 	0.0000 	0.8173 	0.0000 	0.0000 	0.6932 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	1.0000 	0.0000 	0.0000 	0.6396 	0.0000 	1.0000 	1.0000 	1.0000 	0.0000 	0.8891 	1.0000 	0.0000 	0.0000 	0.6039 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.3398 	0.0000 	0.0000 	1.0000 
T-47D	0.5884 	0.2726 	0.8086 	0.8086 	1.0000 	0.5884 	0.0000 	0.6609 	0.5884 	0.0000 	0.5605 	0.5235 	0.0000 	0.5884 	0.5884 	0.5884 	0.5884 	0.5884 	0.0000 	0.0000 	0.5884 	0.0000 	0.8086 	0.0000 	0.2642 	0.6397 	0.0000 	0.8086 	0.8086 	0.8086 	0.0000 	0.9882 	0.8086 	0.5884 	0.0000 	0.4883 	0.0000 	0.5884 	0.0000 	0.0000 	0.5884 	0.0000 	0.4311 	0.5884 	0.0000 	0.0000 	0.0000 	0.0000 	0.5884 	0.5884 	0.5884 	0.0000 	0.0000 	0.0000 	0.0000 	0.2747 	0.5884 	0.0000 	0.8086 
SF-268	1.0000 	0.4633 	0.0000 	0.0000 	0.5884 	1.0000 	0.0000 	0.0000 	1.0000 	0.0000 	0.0000 	0.8898 	0.0000 	1.0000 	1.0000 	1.0000 	1.0000 	1.0000 	0.0000 	0.0000 	1.0000 	0.0000 	0.0000 	0.0000 	0.4490 	0.2082 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.4577 	0.0000 	1.0000 	0.0000 	0.0000 	0.0000 	1.0000 	0.0000 	0.0000 	1.0000 	0.0000 	0.7327 	1.0000 	0.0000 	0.0000 	0.0000 	0.0000 	1.0000 	1.0000 	1.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	1.0000 	0.0000 	0.0000 
SF-295	0.0000 	0.8862 	0.0000 	0.0000 	0.0000 	0.0000 	1.0000 	0.5762 	0.0000 	1.0000 	0.5443 	0.0000 	1.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.8935 	0.7400 	1.0000 	0.0000 	0.0000 	0.0000 	1.0000 	0.0000 	0.0000 	0.0000 	1.0000 	0.7970 	1.0000 	0.0000 	0.9635 	1.0000 	0.0000 	1.0000 	0.6806 	0.0000 	1.0000 	1.0000 	1.0000 	1.0000 	0.0000 	0.0000 	0.0000 	1.0000 	1.0000 	1.0000 	1.0000 	0.9405 	0.0000 	1.0000 	0.0000 
SF-539	0.0000 	0.5106 	0.8173 	0.8173 	0.6609 	0.0000 	0.5762 	1.0000 	0.0000 	0.5762 	0.8802 	0.0000 	0.5762 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.8173 	0.0000 	0.5149 	0.9491 	0.5762 	0.8173 	0.8173 	0.8173 	0.5762 	0.7267 	0.8173 	0.0000 	0.5762 	0.9528 	0.5762 	0.0000 	0.5552 	0.5762 	0.0000 	0.5762 	0.3921 	0.0000 	0.5762 	0.5762 	0.5762 	0.5762 	0.0000 	0.0000 	0.0000 	0.5762 	0.5762 	0.5762 	0.5762 	0.8196 	0.0000 	0.5762 	0.8173 
SNB-19	1.0000 	0.4633 	0.0000 	0.0000 	0.5884 	1.0000 	0.0000 	0.0000 	1.0000 	0.0000 	0.0000 	0.8898 	0.0000 	1.0000 	1.0000 	1.0000 	1.0000 	1.0000 	0.0000 	0.0000 	1.0000 	0.0000 	0.0000 	0.0000 	0.4490 	0.2082 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.4577 	0.0000 	1.0000 	0.0000 	0.0000 	0.0000 	1.0000 	0.0000 	0.0000 	1.0000 	0.0000 	0.7327 	1.0000 	0.0000 	0.0000 	0.0000 	0.0000 	1.0000 	1.0000 	1.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	1.0000 	0.0000 	0.0000 
SNB-75	0.0000 	0.8862 	0.0000 	0.0000 	0.0000 	0.0000 	1.0000 	0.5762 	0.0000 	1.0000 	0.5443 	0.0000 	1.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.8935 	0.7400 	1.0000 	0.0000 	0.0000 	0.0000 	1.0000 	0.0000 	0.0000 	0.0000 	1.0000 	0.7970 	1.0000 	0.0000 	0.9635 	1.0000 	0.0000 	1.0000 	0.6806 	0.0000 	1.0000 	1.0000 	1.0000 	1.0000 	0.0000 	0.0000 	0.0000 	1.0000 	1.0000 	1.0000 	1.0000 	0.9405 	0.0000 	1.0000 	0.0000 
U251	0.0000 	0.4824 	0.6932 	0.6932 	0.5605 	0.0000 	0.5443 	0.8802 	0.0000 	0.5443 	1.0000 	0.2156 	0.5443 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.4724 	0.4724 	0.0000 	0.4724 	0.6932 	0.4724 	0.4864 	0.8462 	0.5443 	0.6932 	0.6932 	0.6932 	0.5443 	0.6163 	0.6932 	0.0000 	0.5443 	0.8525 	0.5443 	0.0000 	0.6510 	0.5443 	0.0000 	0.5443 	0.3705 	0.0000 	0.5443 	0.5443 	0.5443 	0.5443 	0.0000 	0.0000 	0.0000 	0.5443 	0.5443 	0.5443 	0.5443 	0.7475 	0.0000 	0.5443 	0.6932 
COLO-205	0.8898 	0.4123 	0.0000 	0.0000 	0.5235 	0.8898 	0.0000 	0.0000 	0.8898 	0.0000 	0.2156 	1.0000 	0.0000 	0.8898 	0.8898 	0.8898 	0.8898 	0.8898 	0.4564 	0.4564 	0.8898 	0.4564 	0.0000 	0.4564 	0.3995 	0.1853 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.4073 	0.0000 	0.8898 	0.0000 	0.0000 	0.0000 	0.8898 	0.1222 	0.0000 	0.8898 	0.0000 	0.6519 	0.8898 	0.0000 	0.0000 	0.0000 	0.0000 	0.8898 	0.8898 	0.8898 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.8898 	0.0000 	0.0000 
HCC-2998	0.0000 	0.8862 	0.0000 	0.0000 	0.0000 	0.0000 	1.0000 	0.5762 	0.0000 	1.0000 	0.5443 	0.0000 	1.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.8935 	0.7400 	1.0000 	0.0000 	0.0000 	0.0000 	1.0000 	0.0000 	0.0000 	0.0000 	1.0000 	0.7970 	1.0000 	0.0000 	0.9635 	1.0000 	0.0000 	1.0000 	0.6806 	0.0000 	1.0000 	1.0000 	1.0000 	1.0000 	0.0000 	0.0000 	0.0000 	1.0000 	1.0000 	1.0000 	1.0000 	0.9405 	0.0000 	1.0000 	0.0000 
