CELLLINE	MCF7	MDA-MB-231	HS-578T	BT-549	T-47D	SF-268	SF-295	SF-539	SNB-19	SNB-75	U251	COLO-205	HCC-2998	HCT-116	HCT-15	HT29	KM12	SW-620	CCRF-CEM	HL-60(TB)	K-562	MOLT-4	RPMI-8226	SR	LOX-IMVI	MALME-3M	M14	SK-MEL-2	SK-MEL-28	SK-MEL-5	UACC-257	UACC-62	MDA-MB-435	A549/ATCC	EKVX	HOP-62	HOP-92	NCI-H226	NCI-H23	NCI-H322M	NCI-H460	NCI-H522	IGROV1	OVCAR-3	OVCAR-4	OVCAR-5	OVCAR-8	SK-OV-3	NCI/ADR-RES	PC-3	DU-145	786-0	A498	ACHN	CAKI-1	RXF-393	SN12C	TK-10	UO-31
MCF7	1	0.893446551	0.900307199	0.891195375	0.93472415	0.864787695	0.881231627	0.88584872	0.899825604	0.916732934	0.88898601	0.902536302	0.91669919	0.928473848	0.916377667	0.918628639	0.909908789	0.904447525	0.878890579	0.882355317	0.859169041	0.898239466	0.908150333	0.889382177	0.896609593	0.895492219	0.861240937	0.881699581	0.890946069	0.877928495	0.884342743	0.892571333	0.865845586	0.910051579	0.929922875	0.88554595	0.891889101	0.892039366	0.896563234	0.916439492	0.887865041	0.899494095	0.89951272	0.913060323	0.90296859	0.91897453	0.909324346	0.911182654	0.911129499	0.914154732	0.918188696	0.905239471	0.886662825	0.900176956	0.902083654	0.910510365	0.865063667	0.932285073	0.901239916
MDA-MB-231	0.893446551	1	0.946353152	0.943239093	0.886044477	0.913629032	0.915749748	0.926798943	0.939512088	0.943274953	0.929444399	0.887213931	0.903327712	0.947796525	0.916975103	0.925247002	0.912312897	0.893375227	0.879724269	0.923244946	0.903215632	0.902091132	0.937557362	0.910704537	0.949725239	0.92220258	0.905655336	0.912913212	0.927144794	0.905947018	0.915521569	0.925270086	0.905577893	0.935506651	0.927720209	0.931070866	0.924148489	0.955679759	0.916948798	0.908534519	0.920675686	0.926736702	0.925353446	0.905543305	0.910826092	0.934109421	0.917990503	0.936632233	0.92689091	0.93889975	0.942507761	0.935189478	0.945384883	0.898440297	0.918928795	0.932396141	0.908568494	0.935697138	0.929706355
HS-578T	0.900307199	0.946353152	1	0.9516743	0.893223802	0.934741182	0.927827087	0.945228548	0.963135521	0.931556178	0.930780713	0.873696406	0.893892462	0.932362153	0.909405764	0.918796278	0.901798248	0.888488605	0.881162135	0.9163373	0.892868508	0.893636089	0.924586879	0.908206812	0.940774576	0.926297167	0.906638811	0.917165517	0.92154286	0.905683528	0.918206402	0.925045289	0.907998812	0.948091807	0.928979081	0.929051399	0.913832721	0.945397618	0.930876841	0.902901438	0.911813324	0.913869499	0.913945651	0.906212596	0.900155546	0.923724978	0.91519728	0.930365601	0.919177763	0.927958297	0.950034708	0.932862789	0.932958103	0.914827518	0.922352778	0.934357191	0.907179536	0.930260495	0.924853084
BT-549	0.891195375	0.943239093	0.9516743	1	0.889960538	0.941968526	0.928693461	0.943139548	0.962317994	0.947894508	0.946657265	0.889388452	0.898954055	0.938941598	0.920853392	0.928860498	0.912954851	0.895965921	0.878144402	0.917817153	0.914627161	0.904753401	0.925233821	0.899449562	0.943275475	0.927632604	0.917520326	0.90946301	0.931807335	0.905299005	0.908928386	0.919959681	0.912301742	0.947723682	0.938410271	0.947697811	0.922975746	0.935910196	0.943337338	0.910505217	0.919645065	0.931074364	0.929208595	0.900210043	0.908681525	0.936992738	0.924059394	0.943851635	0.930196827	0.94176057	0.95132936	0.935021165	0.916804457	0.91122322	0.929569646	0.94216738	0.930117079	0.935770016	0.93319947
T-47D	0.93472415	0.886044477	0.893223802	0.889960538	1	0.868624744	0.869557506	0.900680907	0.896533926	0.911960753	0.884645767	0.90153032	0.906592033	0.923981894	0.923057139	0.922097631	0.918748903	0.900788732	0.849428634	0.865417414	0.863344813	0.885249536	0.905392876	0.870187893	0.900004138	0.896879364	0.875847611	0.888505829	0.900865604	0.88893862	0.889536835	0.907753705	0.872942595	0.904696094	0.930754812	0.886209879	0.888026661	0.890865538	0.903208763	0.925876265	0.886560906	0.890768571	0.91506841	0.89885906	0.89878864	0.916595641	0.906019615	0.916269638	0.909583847	0.907978144	0.911595285	0.907267257	0.881945449	0.916210442	0.914720295	0.926066669	0.868823164	0.924685213	0.912286536
SF-268	0.864787695	0.913629032	0.934741182	0.941968526	0.868624744	1	0.927446251	0.936526552	0.95106063	0.928087983	0.937307119	0.843744003	0.865284633	0.906565964	0.892682215	0.889322599	0.880446814	0.878312884	0.864711868	0.884292553	0.857426507	0.884995633	0.895672289	0.867935253	0.918968619	0.900605667	0.899385243	0.899647498	0.904378161	0.882255827	0.894796622	0.906701096	0.897921927	0.937240161	0.912591604	0.934164361	0.899425886	0.908988124	0.931527669	0.896689175	0.900904039	0.906880258	0.887170327	0.882147523	0.881113435	0.908341979	0.912012021	0.92240505	0.912209036	0.924694758	0.941212223	0.912661052	0.878296972	0.906701533	0.910804961	0.916838654	0.917959608	0.904100984	0.912946168
SF-295	0.881231627	0.915749748	0.927827087	0.928693461	0.869557506	0.927446251	1	0.925979933	0.934101782	0.951527382	0.933525049	0.864196154	0.892170839	0.929002333	0.90093483	0.900822113	0.883961867	0.895695358	0.864570075	0.880408823	0.873612609	0.881016189	0.893838066	0.885330521	0.940890573	0.9094889	0.92578671	0.926024871	0.92311002	0.909362062	0.913606816	0.929373565	0.927477923	0.940197558	0.925278332	0.947008216	0.926419544	0.88635979	0.91652861	0.903997568	0.92418622	0.91752785	0.896384903	0.912496173	0.870320243	0.919493271	0.912695817	0.934723131	0.907128957	0.952875929	0.949072535	0.925081598	0.876925377	0.908305529	0.92884438	0.915392819	0.902293072	0.920193677	0.926296859
SF-539	0.88584872	0.926798943	0.945228548	0.943139548	0.900680907	0.936526552	0.925979933	1	0.943244573	0.933408762	0.932642841	0.866272355	0.882725345	0.92171914	0.908461619	0.91021109	0.899009109	0.884766266	0.871361817	0.897879892	0.872334029	0.884073151	0.91691871	0.895897005	0.936244228	0.928045758	0.929433005	0.919542234	0.919939321	0.900816225	0.914061381	0.928138692	0.903010831	0.943599088	0.929203307	0.934671503	0.91130145	0.916145325	0.914068569	0.899271358	0.913338485	0.912524264	0.909176329	0.894383284	0.886260198	0.923573337	0.912436044	0.934287078	0.918657894	0.929091153	0.946869074	0.936182625	0.901714156	0.913755838	0.932881505	0.932070711	0.921990178	0.925965766	0.923032898
SNB-19	0.899825604	0.939512088	0.963135521	0.962317994	0.896533926	0.95106063	0.934101782	0.943244573	1	0.940247552	0.955152917	0.882139433	0.891324675	0.937335845	0.914473831	0.917921036	0.909612045	0.901489133	0.890698306	0.915196701	0.900416632	0.917085129	0.929322459	0.908434646	0.939991136	0.940216243	0.916953594	0.922302318	0.936538989	0.914875441	0.928391249	0.930778422	0.919845662	0.946980036	0.931841004	0.94530804	0.908736494	0.939886889	0.950726709	0.918966094	0.918852794	0.928410647	0.924168045	0.897990473	0.903455301	0.924690893	0.916936025	0.93901273	0.926807687	0.934515893	0.950331062	0.927422802	0.917353951	0.918035703	0.922217633	0.935432384	0.911475422	0.925946554	0.927099774
SNB-75	0.916732934	0.943274953	0.931556178	0.947894508	0.911960753	0.928087983	0.951527382	0.933408762	0.940247552	1	0.948141113	0.905131728	0.923066447	0.962403806	0.938259627	0.937641634	0.93044949	0.926242821	0.886388894	0.902417594	0.903401878	0.917327098	0.929725435	0.902027088	0.95370053	0.913142016	0.921905319	0.926735855	0.933209921	0.910347767	0.924254289	0.938351738	0.932493863	0.948789629	0.952742912	0.954966557	0.941289763	0.915888126	0.941279561	0.942839331	0.937249282	0.969765734	0.931641401	0.936723464	0.916038706	0.947844503	0.942630682	0.9558498	0.94610985	0.997271282	0.964195601	0.941303366	0.896501802	0.913303144	0.932830157	0.942347174	0.920446412	0.94601813	0.939605358
